2021-04-29 05:30:02 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:06 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:06 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:08 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:08 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:08 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:08 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:08 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:08 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:08 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:08 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:08 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:08 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:08 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
2021-04-29 05:30:08 Line: 13, : Request start: 188.68.224.138
2021-04-29 05:30:08 Line: 131, APISubiektGT\SubiektGT\order->getFakturaByOrderId: Request finish: 188.68.224.138
